area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
92.000000;4;3;1;2015;8;449000.000000
78.000000;2;3;1;1980;11;558000.000000
76.000000;3;3;1;2003;17;372890.000000
42.000000;2;4;0;2015;4;320000.000000
40.000000;2;4;0;1990;6;220000.000000
137.000000;4;3;1;2008;3;1849500.000000
42.000000;2;3;1;2015;8;311665.000000
45.000000;2;3;0;2015;8;280000.000000
18.220000;1;0;0;1938;12;210000.000000
57.000000;3;2;0;2015;8;362000.000000
57.000000;2;2;0;1960;7;275000.000000
40.000000;2;0;0;2001;10;284000.000000
30.240000;1;1;0;2016;14;163296.000000
40.000000;2;3;0;2002;15;247000.000000
51.000000;2;1;0;2008;3;310000.000000
48.000000;2;3;0;1960;7;260000.000000
32.210000;1;1;0;2010;3;250000.000000
57.410000;3;1;0;2015;4;378906.000000
71.000000;3;2;0;2015;5;694000.000000
36.340000;1;1;0;2007;14;198053.000000
70.000000;4;3;1;2008;3;450000.000000
49.600000;2;1;0;2007;14;136000.000000
76.990000;3;1;0;1937;12;746803.000000
73.400000;4;2;0;2001;10;540000.000000
64.000000;3;1;0;2015;5;627000.000000
55.000000;2;3;0;2001;10;270000.000000
92.300000;4;3;0;2005;3;499000.000000
36.000000;2;0;0;1986;14;185000.000000
50.100000;2;4;0;2007;14;239000.000000
25.650000;1;9;0;2016;5;205200.000000
53.000000;3;3;0;2001;10;370000.000000
39.000000;2;2;0;2000;10;235000.000000
111.270000;3;4;0;1927;12;425000.000000
52.000000;3;3;1;2015;4;420000.000000
80.000000;3;3;0;2008;3;799000.000000
26.120000;1;0;0;1980;11;189000.000000
50.130000;2;0;0;2007;14;283235.000000
58.000000;2;3;1;2001;10;435000.000000
52.000000;2;3;0;2008;3;295000.000000
33.000000;2;3;0;1980;11;295000.000000
51.940000;2;9;0;2007;14;272477.240000
64.650000;3;3;0;2017;12;633570.000000
61.000000;3;5;0;2015;4;576793.000000
38.000000;2;3;0;1980;11;261000.000000
61.910000;3;4;0;2008;3;429036.000000
64.000000;3;3;0;2015;8;436701.000000
50.000000;2;3;0;2008;3;323000.000000
53.710000;3;1;0;2016;14;295405.000000
49.000000;1;1;0;1997;1;380000.000000
50.000000;2;4;0;1958;4;315000.000000
53.060000;2;1;0;1970;0;430000.000000
58.000000;2;3;1;2015;8;570000.000000
53.000000;3;0;0;2001;10;365000.000000
66.000000;4;3;0;2008;3;330000.000000
65.000000;3;3;1;2002;15;259000.000000
40.000000;2;1;0;2002;15;219000.000000
68.000000;3;3;0;2015;4;435000.000000
38.000000;2;3;0;1980;11;245000.000000
66.000000;3;3;1;2015;8;535000.000000
33.000000;2;2;0;1970;0;215800.000000
46.000000;2;2;0;2001;10;290000.000000
49.000000;2;3;0;1997;1;289000.000000
36.000000;1;1;0;2004;3;255000.000000
41.000000;2;1;0;2009;3;325000.000000
69.000000;3;3;1;1937;12;597000.000000
206.000000;4;2;0;2015;1;795000.000000
120.000000;4;2;1;1997;1;645000.000000
